_id;cc_collectiveCodeOwnership;cc_errorCulture_Consolidated;cc_intendedKnowledgeDistribution;cc_longTermThinking;cc_qualityOrientation_1;cp_codebaseSize;cp_defectConsequences_Consolidated;cp_defectConsequences_business;cp_defectConsequences_disruptOtherTeams;cp_defectConsequences_environment;cp_defectConsequences_financialLoss;cp_defectConsequences_humanLife;cp_defectConsequences_law;cp_defectConsequences_lossOfService;cp_defectConsequences_reputation;cp_defectConsequences_systemFailure;classification;cp_obligations_contractual;cp_obligations_legislative;cp_obligations_none;cp_typeOfSoftware;ct_actualKnowledgeMax;ct_actualKnowledgeMedian;ct_actualKnowledge_veryExperienced;ct_actualKnowledge_veryLittleExperienced;ct_companySize;ct_country;ct_openSource;ct_spatialDistribution;ct_teamSize
207;Y;7;generalists;2_mediumTerm;highQuality;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;contractor;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;5_251to500;germany;closedsource;distributed;010
206;Y;6;generalists;4_longTerm;highQuality;2_50001to100000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;saas;4_veryExperienced;2_littleExperienced;010percentOfTeam;010percentOfTeam;7_1001to10000;germany;closedsource;distributed;040
234;Y;7;generalists;3_mediumToLongTerm;highQuality;2_50001to100000;5;N;N;N;Y;N;Y;Y;N;N;agile;?;?;?;saas;?;?;090percentOfTeam;?;1_11to25;germany;closedsource;collocated;004
238;Y;7;generalists;1_shortToMediumTerm;lowTimeToMarket;1_10001to50000;6;N;N;N;N;N;N;N;Y;N;adhoc;?;?;?;standardsoftware;?;?;090percentOfTeam;010percentOfTeam;5_251to500;usa;closedsource;distributed;005
239;Y;6;generalists;3_mediumToLongTerm;?;?;5;N;N;N;Y;N;N;N;N;Y;agile;?;?;?;contractor;?;?;?;?;2_26to50;germany;closedsource;collocated;008
240;Y;7;generalists;4_longTerm;?;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;contractor;?;?;?;?;8_10001orMore;germany;?;?;005
241;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;classic;?;?;?;contractor;?;?;?;?;5_251to500;germany;closedsource;?;010
205;Y;7;generalists;3_mediumToLongTerm;lowTimeToMarket;1_10001to50000;5;Y;N;N;N;Y;Y;Y;Y;Y;agile;N;N;N;standardsoftware;?;?;070percentOfTeam;010percentOfTeam;7_1001to10000;austria;closedsource;collocated;007
218;Y;7;specialists;3_mediumToLongTerm;?;?;7;N;N;N;N;N;N;Y;Y;Y;agile;?;?;?;inhouse;?;?;?;?;4_101to250;germany;closedsource;collocated;100
215;Y;6;generalists;1_shortToMediumTerm;lowTimeToMarket;2_50001to100000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;saas;?;?;030percentOfTeam;?;1_11to25;germany;closedsource;collocated;009
216;Y;5;generalists;1_shortToMediumTerm;highQuality;1_10001to50000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;saas;?;?;030percentOfTeam;?;1_11to25;germany;opensource;collocated;005
219;Y;6;generalists;2_mediumTerm;highQuality;?;6;Y;N;N;Y;N;Y;Y;Y;Y;adhoc;N;N;Y;inhouse;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;7_1001to10000;austria;closedsource;distributed;010
217;Y;7;generalists;4_longTerm;lowTimeToMarket;2_50001to100000;6;N;N;N;N;N;N;Y;Y;N;agile;N;N;Y;standardsoftware;4_veryExperienced;2_littleExperienced;010percentOfTeam;030percentOfTeam;0_1to10;germany;closedsource;distributed;005
209;Y;5;specialists;4_longTerm;highQuality;2_50001to100000;6;Y;N;N;Y;N;Y;Y;Y;Y;adhoc;N;N;Y;saas;?;?;100percentOfTeam;?;1_11to25;germany;?;collocated;006
214;Y;6;specialists;2_mediumTerm;highQuality;1_10001to50000;5;Y;N;N;Y;N;N;Y;Y;Y;agile;N;N;Y;contractor;4_veryExperienced;2_littleExperienced;030percentOfTeam;010percentOfTeam;5_251to500;germany;closedsource;collocated;005
220;Y;7;generalists;4_longTerm;lowTimeToMarket;2_50001to100000;5;Y;N;N;Y;N;N;Y;Y;Y;agile;N;N;Y;standardsoftware;?;?;070percentOfTeam;?;8_10001orMore;germany;closedsource;collocated;025
213;Y;6;generalists;4_longTerm;lowTimeToMarket;2_50001to100000;7;N;N;N;N;N;N;Y;Y;Y;agile;N;N;Y;contractor;4_veryExperienced;3_experienced;030percentOfTeam;010percentOfTeam;4_101to250;germany;closedsource;distributed;008
221;Y;6;generalists;4_longTerm;?;?;5;N;N;N;Y;N;N;Y;N;Y;classic;?;?;?;contractor;?;?;?;?;4_101to250;germany;closedsource;collocated;005
222;Y;6;specialists;?;highQuality;6_10000001orMore;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;050percentOfTeam;010percentOfTeam;4_101to250;germany;closedsource;collocated;012
225;Y;?;generalists;3_mediumToLongTerm;?;?;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;contractor;?;?;?;?;5_251to500;germany;closedsource;collocated;003
223;Y;4;generalists;3_mediumToLongTerm;highQuality;3_100001to500000;5;Y;N;N;Y;N;Y;Y;Y;N;agile;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;010percentOfTeam;4_101to250;germany;closedsource;collocated;008
226;Y;5;generalists;3_mediumToLongTerm;?;?;6;N;N;N;Y;N;Y;N;N;Y;agile;?;?;?;contractor;?;?;?;?;4_101to250;germany;closedsource;distributed;050
228;Y;?;generalists;2_mediumTerm;?;?;?;?;?;?;?;?;?;?;?;?;agile;?;?;?;inhouse;?;?;?;?;6_501to1000;germany;closedsource;collocated;007
250;Y;7;specialists;2_mediumTerm;?;?;4;Y;N;N;Y;Y;Y;Y;Y;Y;classic;?;?;?;?;?;?;?;?;4_101to250;germany;closedsource;collocated;008
266;Y;7;generalists;4_longTerm;highQuality;?;4;Y;N;N;Y;Y;Y;Y;Y;Y;classic;N;N;Y;contractor;?;?;?;?;3_51to100;germany;closedsource;collocated;004
269;Y;4;generalists;3_mediumToLongTerm;lowTimeToMarket;6_10000001orMore;5;Y;N;N;Y;N;N;Y;Y;Y;agile;N;N;Y;saas;3_experienced;3_experienced;000percentOfTeam;000percentOfTeam;8_10001orMore;germany;opensource;collocated;008
255;Y;7;generalists;2_mediumTerm;highQuality;2_50001to100000;5;Y;N;N;Y;N;N;Y;Y;Y;agile;?;?;?;contractor;?;?;070percentOfTeam;?;0_1to10;germany;opensource;collocated;005
259;Y;7;generalists;2_mediumTerm;?;?;4;Y;N;N;Y;N;N;Y;Y;N;agile;?;?;?;standardsoftware;?;?;?;?;1_11to25;france;closedsource;collocated;008
251;Y;7;generalists;3_mediumToLongTerm;highQuality;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;standardsoftware;4_veryExperienced;4_veryExperienced;070percentOfTeam;000percentOfTeam;3_51to100;germany;opensource;distributed;005
254;Y;?;generalists;4_longTerm;?;?;5;N;N;N;N;N;N;N;N;N;agile;?;?;?;?;?;?;?;?;2_26to50;germany;closedsource;collocated;004
270;Y;4;generalists;4_longTerm;highQuality;6_10000001orMore;6;N;N;N;N;N;N;Y;N;Y;agile;N;N;Y;inhouse;?;?;070percentOfTeam;?;7_1001to10000;germany;closedsource;collocated;008
249;Y;4;generalists;3_mediumToLongTerm;highQuality;3_100001to500000;3;Y;N;Y;Y;Y;Y;Y;Y;Y;classic;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;5_251to500;germany;closedsource;distributed;500
271;Y;7;generalists;1_shortToMediumTerm;lowTimeToMarket;5_1000001to10000000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;inhouse;?;?;050percentOfTeam;?;7_1001to10000;germany;closedsource;collocated;006
252;Y;6;generalists;3_mediumToLongTerm;?;?;3;Y;N;N;Y;N;N;Y;N;N;agile;?;?;?;contractor;?;?;?;?;1_11to25;germany;closedsource;collocated;005
272;Y;6;generalists;3_mediumToLongTerm;?;?;4;Y;N;N;N;N;N;Y;N;N;agile;?;?;?;inhouse;?;?;?;?;5_251to500;germany;closedsource;distributed;007
273;Y;6;generalists;3_mediumToLongTerm;highQuality;3_100001to500000;5;N;N;N;N;N;N;Y;N;N;agile;N;N;Y;contractor;4_veryExperienced;3_experienced;010percentOfTeam;000percentOfTeam;1_11to25;germany;closedsource;distributed;015
264;Y;7;generalists;1_shortToMediumTerm;highQuality;2_50001to100000;5;Y;N;N;Y;N;Y;Y;Y;N;agile;N;N;Y;contractor;?;?;010percentOfTeam;?;6_501to1000;germany;closedsource;distributed;010
261;Y;7;generalists;4_longTerm;?;?;5;Y;N;N;Y;N;N;N;Y;Y;agile;?;?;?;saas;?;?;?;?;4_101to250;germany;closedsource;distributed;006
256;N;4;specialists;?;?;?;4;N;N;N;Y;N;N;Y;N;N;agile;N;N;Y;?;?;?;?;?;2_26to50;?;?;collocated;005
267;Y;7;generalists;1_shortToMediumTerm;lowTimeToMarket;5_1000001to10000000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;inhouse;3_experienced;2_littleExperienced;000percentOfTeam;000percentOfTeam;5_251to500;germany;closedsource;collocated;008
262;Y;7;generalists;4_longTerm;?;?;5;Y;N;N;N;N;N;N;N;Y;classic;?;?;?;inhouse;?;?;?;?;3_51to100;germany;closedsource;collocated;007
257;Y;7;generalists;4_longTerm;?;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;contractor;?;?;?;?;1_11to25;germany;opensource;collocated;005
275;Y;5;generalists;3_mediumToLongTerm;highQuality;1_10001to50000;3;Y;N;N;Y;Y;Y;Y;Y;N;agile;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;7_1001to10000;germany;closedsource;distributed;008
265;Y;5;generalists;2_mediumTerm;?;?;4;Y;N;N;Y;N;N;Y;N;Y;agile;?;?;?;saas;?;?;?;?;4_101to250;germany;closedsource;distributed;008
334;Y;7;generalists;2_mediumTerm;?;?;5;Y;N;Y;Y;N;Y;Y;Y;Y;agile;?;?;?;contractor;?;?;?;?;5_251to500;germany;closedsource;collocated;004
277;N;7;specialists;1_shortToMediumTerm;lowEffort;5_1000001to10000000;7;N;N;N;N;N;N;Y;Y;Y;agile;N;N;Y;contractor;4_veryExperienced;3_experienced;050percentOfTeam;000percentOfTeam;3_51to100;germany;closedsource;distributed;004
349;Y;5;generalists;2_mediumTerm;lowTimeToMarket;2_50001to100000;3;N;N;N;N;Y;N;N;N;N;classic;N;Y;N;embedded;?;?;?;?;7_1001to10000;germany;closedsource;collocated;008
294;N;5;specialists;2_mediumTerm;lowEffort;3_100001to500000;5;Y;N;Y;Y;N;Y;Y;Y;Y;classic;?;?;?;standardsoftware;4_veryExperienced;3_experienced;050percentOfTeam;010percentOfTeam;2_26to50;germany;closedsource;collocated;009
278;Y;6;generalists;0_shortTerm;highQuality;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;inhouse;4_veryExperienced;2_littleExperienced;010percentOfTeam;010percentOfTeam;5_251to500;germany;closedsource;collocated;010
344;Y;7;specialists;3_mediumToLongTerm;highQuality;3_100001to500000;3;Y;N;Y;Y;Y;Y;Y;Y;Y;classic;N;Y;N;embedded;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;7_1001to10000;germany;closedsource;distributed;050
335;Y;7;specialists;3_mediumToLongTerm;lowEffort;6_10000001orMore;5;Y;N;N;Y;N;N;Y;Y;Y;agile;N;N;Y;saas;4_veryExperienced;3_experienced;030percentOfTeam;010percentOfTeam;2_26to50;germany;opensource;collocated;013
351;Y;7;generalists;4_longTerm;highQuality;2_50001to100000;5;Y;N;N;Y;N;Y;N;Y;N;agile;N;N;Y;contractor;4_veryExperienced;3_experienced;050percentOfTeam;010percentOfTeam;?;hungary;closedsource;collocated;005
350;Y;7;generalists;4_longTerm;highQuality;4_500001to1000000;3;Y;N;Y;Y;Y;Y;Y;Y;Y;agile;N;N;Y;contractor;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;1_11to25;germany;closedsource;collocated;010
341;Y;7;generalists;1_shortToMediumTerm;highQuality;5_1000001to10000000;4;Y;N;N;Y;N;Y;N;N;N;adhoc;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;7_1001to10000;?;closedsource;collocated;006
348;N;6;specialists;2_mediumTerm;highQuality;0_upTo10000;6;N;N;N;N;N;N;Y;Y;N;agile;?;?;?;research;4_veryExperienced;1_veryLittleExperienced;010percentOfTeam;030percentOfTeam;7_1001to10000;germany;opensource;distributed;004
353;Y;4;generalists;1_shortToMediumTerm;lowEffort;?;4;Y;N;N;Y;N;N;N;Y;N;classic;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;8_10001orMore;germany;closedsource;distributed;012
354;Y;7;generalists;0_shortTerm;lowEffort;6_10000001orMore;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;inhouse;4_veryExperienced;3_experienced;030percentOfTeam;010percentOfTeam;4_101to250;germany;closedsource;collocated;012
355;Y;5;generalists;3_mediumToLongTerm;lowEffort;1_10001to50000;5;N;N;N;N;N;N;Y;N;N;adhoc;?;?;?;inhouse;3_experienced;3_experienced;000percentOfTeam;000percentOfTeam;4_101to250;germany;closedsource;collocated;004
279;N;5;generalists;4_longTerm;?;?;5;N;N;N;N;N;N;N;N;N;adhoc;N;N;N;standardsoftware;?;?;?;?;4_101to250;germany;closedsource;distributed;003
286;Y;3;?;3_mediumToLongTerm;?;?;5;Y;N;N;N;N;N;Y;N;Y;agile;?;?;?;saas;?;?;?;?;2_26to50;?;closedsource;distributed;010
281;Y;6;generalists;4_longTerm;?;?;5;N;N;N;N;N;N;N;N;N;agile;N;N;Y;embedded;?;?;?;?;8_10001orMore;germany;closedsource;distributed;005
284;Y;7;generalists;4_longTerm;highQuality;?;6;Y;N;N;Y;N;Y;N;Y;Y;agile;N;N;Y;contractor;4_veryExperienced;4_veryExperienced;050percentOfTeam;000percentOfTeam;4_101to250;germany;closedsource;collocated;005
288;Y;7;specialists;3_mediumToLongTerm;highQuality;2_50001to100000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;1_11to25;germany;closedsource;collocated;003
280;Y;6;generalists;3_mediumToLongTerm;highQuality;2_50001to100000;4;Y;N;N;N;N;N;N;N;N;agile;N;N;Y;inhouse;4_veryExperienced;2_littleExperienced;010percentOfTeam;010percentOfTeam;6_501to1000;germany;closedsource;distributed;015
285;Y;7;generalists;2_mediumTerm;?;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;saas;?;?;?;?;3_51to100;switzerland;closedsource;distributed;005
290;N;6;specialists;2_mediumTerm;?;?;5;N;N;N;N;N;N;N;N;N;agile;?;?;?;standardsoftware;?;?;?;?;1_11to25;germany;closedsource;collocated;003
282;Y;6;generalists;4_longTerm;?;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;?;?;?;?;?;8_10001orMore;germany;closedsource;collocated;008
291;Y;6;generalists;4_longTerm;highQuality;3_100001to500000;5;Y;N;N;Y;N;Y;N;Y;N;agile;N;N;Y;saas;4_veryExperienced;4_veryExperienced;090percentOfTeam;000percentOfTeam;4_101to250;germany;closedsource;distributed;008
287;Y;7;generalists;4_longTerm;?;?;4;Y;N;N;Y;N;N;Y;Y;N;agile;?;?;?;standardsoftware;?;?;?;?;0_1to10;germany;closedsource;collocated;006
292;Y;4;generalists;2_mediumTerm;?;?;6;N;N;N;Y;N;Y;N;Y;N;agile;?;?;?;contractor;?;?;?;?;6_501to1000;?;closedsource;collocated;007
289;Y;7;generalists;3_mediumToLongTerm;highQuality;3_100001to500000;7;N;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;4_101to250;germany;closedsource;collocated;003
296;Y;5;generalists;1_shortToMediumTerm;lowEffort;0_upTo10000;6;N;N;N;N;N;N;Y;Y;N;agile;?;?;?;standardsoftware;3_experienced;3_experienced;000percentOfTeam;000percentOfTeam;5_251to500;germany;closedsource;collocated;002
295;Y;7;generalists;3_mediumToLongTerm;?;?;4;Y;N;N;Y;N;Y;Y;N;N;agile;?;?;?;contractor;?;?;?;?;3_51to100;germany;closedsource;distributed;010
297;Y;6;generalists;4_longTerm;?;?;5;Y;N;N;Y;N;Y;Y;Y;N;agile;?;?;?;standardsoftware;?;?;?;?;5_251to500;germany;closedsource;distributed;015
298;Y;5;generalists;3_mediumToLongTerm;highQuality;?;4;Y;N;N;Y;N;N;N;Y;N;agile;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;030percentOfTeam;010percentOfTeam;4_101to250;germany;closedsource;collocated;007
337;N;6;specialists;2_mediumTerm;highQuality;2_50001to100000;5;Y;N;N;N;N;N;N;Y;N;agile;N;N;Y;saas;4_veryExperienced;3_experienced;010percentOfTeam;000percentOfTeam;3_51to100;?;closedsource;collocated;006
325;Y;6;generalists;3_mediumToLongTerm;highQuality;2_50001to100000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;inhouse;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;4_101to250;germany;closedsource;collocated;012
336;N;?;generalists;4_longTerm;?;?;?;?;?;?;?;?;?;?;?;?;agile;?;?;?;standardsoftware;?;?;?;?;3_51to100;germany;?;distributed;010
338;Y;7;generalists;2_mediumTerm;?;?;7;Y;N;N;N;N;Y;Y;Y;Y;agile;?;?;?;inhouse;?;?;?;?;7_1001to10000;norway;closedsource;collocated;003
339;Y;7;generalists;3_mediumToLongTerm;highQuality;0_upTo10000;5;Y;N;N;Y;N;Y;Y;Y;N;agile;N;N;Y;standardsoftware;?;?;070percentOfTeam;?;7_1001to10000;germany;closedsource;collocated;005
342;Y;6;generalists;4_longTerm;?;?;5;Y;N;Y;Y;N;Y;Y;Y;Y;agile;?;?;?;embedded;?;?;?;?;5_251to500;germany;closedsource;collocated;005
331;Y;7;generalists;4_longTerm;?;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;inhouse;?;?;?;?;5_251to500;germany;closedsource;collocated;010
343;Y;7;generalists;4_longTerm;?;?;3;Y;N;Y;Y;Y;Y;Y;Y;Y;classic;N;N;Y;standardsoftware;?;?;?;?;?;germany;closedsource;collocated;006
340;Y;6;generalists;4_longTerm;highQuality;3_100001to500000;4;Y;N;N;Y;N;N;N;N;Y;agile;N;N;Y;contractor;?;?;090percentOfTeam;?;?;germany;closedsource;distributed;006
305;Y;7;generalists;4_longTerm;highQuality;2_50001to100000;5;N;N;N;N;N;N;Y;N;N;agile;N;N;Y;contractor;?;?;050percentOfTeam;?;1_11to25;germany;closedsource;collocated;002
300;Y;6;generalists;4_longTerm;highQuality;2_50001to100000;5;Y;N;N;N;N;Y;N;N;N;agile;?;?;?;other;?;?;070percentOfTeam;?;5_251to500;portugal;closedsource;distributed;005
311;Y;5;generalists;?;lowTimeToMarket;?;6;N;N;N;Y;N;N;Y;Y;Y;agile;N;N;Y;contractor;?;?;030percentOfTeam;?;5_251to500;poland;closedsource;collocated;020
301;Y;7;generalists;2_mediumTerm;highQuality;5_1000001to10000000;5;Y;N;N;N;N;N;Y;Y;N;agile;N;N;Y;standardsoftware;?;?;010percentOfTeam;000percentOfTeam;1_11to25;germany;closedsource;distributed;003
316;Y;7;generalists;4_longTerm;?;?;6;N;N;N;N;N;N;Y;Y;N;agile;?;?;?;standardsoftware;?;?;?;?;2_26to50;germany;closedsource;collocated;015
303;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;agile;?;?;?;standardsoftware;?;?;?;?;4_101to250;uk;closedsource;?;009
310;Y;7;generalists;2_mediumTerm;highQuality;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;standardsoftware;?;?;070percentOfTeam;?;4_101to250;germany;closedsource;collocated;003
308;Y;6;generalists;3_mediumToLongTerm;?;?;5;Y;N;N;N;N;N;Y;Y;N;agile;?;?;?;saas;?;?;?;?;4_101to250;germany;closedsource;collocated;010
312;N;2;generalists;4_longTerm;?;?;6;N;N;N;N;N;N;Y;Y;N;classic;?;?;?;?;?;?;?;?;6_501to1000;germany;closedsource;collocated;023
314;N;1;specialists;1_shortToMediumTerm;lowTimeToMarket;2_50001to100000;6;N;N;N;Y;N;N;Y;Y;Y;adhoc;?;?;?;saas;4_veryExperienced;3_experienced;010percentOfTeam;010percentOfTeam;8_10001orMore;uk;closedsource;collocated;008
315;N;7;generalists;2_mediumTerm;?;?;3;Y;N;N;Y;Y;Y;Y;Y;N;agile;?;?;?;contractor;?;?;?;?;4_101to250;germany;closedsource;distributed;004
309;N;7;specialists;3_mediumToLongTerm;lowTimeToMarket;2_50001to100000;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;N;N;Y;inhouse;4_veryExperienced;3_experienced;030percentOfTeam;000percentOfTeam;3_51to100;austria;closedsource;distributed;010
320;N;6;generalists;4_longTerm;?;?;6;Y;N;N;Y;N;Y;Y;Y;Y;agile;?;?;?;saas;?;?;?;?;4_101to250;germany;closedsource;collocated;012
313;Y;6;specialists;3_mediumToLongTerm;?;?;6;Y;N;N;Y;N;Y;N;Y;Y;agile;?;?;?;inhouse;?;?;?;?;6_501to1000;germany;opensource;collocated;005
322;Y;6;generalists;3_mediumToLongTerm;highQuality;0_upTo10000;6;Y;N;N;N;N;N;Y;Y;Y;agile;N;N;Y;saas;?;?;?;000percentOfTeam;4_101to250;germany;closedsource;collocated;005
324;Y;6;generalists;3_mediumToLongTerm;?;?;8;N;N;N;N;N;Y;N;Y;Y;agile;?;?;?;contractor;?;?;?;?;3_51to100;germany;closedsource;collocated;015
327;Y;7;generalists;4_longTerm;lowEffort;?;8;N;N;N;N;N;Y;Y;Y;Y;adhoc;N;N;Y;standardsoftware;4_veryExperienced;3_experienced;050percentOfTeam;010percentOfTeam;3_51to100;germany;closedsource;collocated;006
329;Y;7;generalists;4_longTerm;?;?;5;Y;N;N;Y;N;Y;Y;Y;N;agile;?;?;?;inhouse;?;?;?;?;5_251to500;germany;closedsource;collocated;010
330;Y;7;generalists;4_longTerm;?;?;4;Y;N;N;Y;N;N;N;Y;N;agile;?;?;?;inhouse;?;?;?;?;5_251to500;germany;?;collocated;009
